TransactionID,CustomerID,Category,Quantity,Price,Date
TXN000001,CUST01127,Books,5,148.71,2024-04-18
TXN000002,CUST01460,Electronics,5,177.0,2024-09-30
TXN000003,CUST00861,Electronics,4,387.95,2023-02-18
TXN000004,CUST01295,Books,5,257.56,2024-09-02
TXN000005,CUST01131,Home & Kitchen,1,437.06,2024-09-22
TXN000006,CUST01096,Fashion,3,474.54,2024-02-28
TXN000007,CUST01725,Fashion,4,461.43,2023-04-13
TXN000008,CUST01045,Fashion,4,130.59,2023-10-31
TXN000009,CUST01639,Books,5,239.08,2024-01-13
TXN000010,CUST00122,Electronics,3,269.85,2024-08-26
TXN000011,CUST00467,Books,1,426.83,2023-03-31
TXN000012,CUST01239,Books,3,281.72,2023-05-29
TXN000013,CUST00331,Sports,2,130.09,2024-10-08
TXN000014,CUST01483,Electronics,3,276.03,2023-10-15
TXN000015,CUST00088,Sports,1,26.92,2024-08-04
TXN000016,CUST01397,Beauty,1,417.9,2024-11-27
TXN000017,CUST01124,Electronics,1,285.17,2023-10-05
TXN000018,CUST00872,Electronics,4,327.6,2024-02-23
TXN000019,CUST01688,Electronics,4,104.46,2023-05-11
TXN000020,CUST00131,Fashion,2,281.28,2023-05-30
TXN000021,CUST01686,Fashion,3,267.67,2023-03-21
TXN000022,CUST01333,Sports,5,311.72,2024-10-21
TXN000023,CUST00770,Sports,2,424.47,2023-05-21
TXN000024,CUST00344,Electronics,5,383.45,2023-02-08
TXN000025,CUST01516,Sports,5,275.7,2024-03-26
TXN000026,CUST01438,Fashion,2,447.23,2023-02-20
TXN000027,CUST00806,Books,3,182.42,2023-07-11
TXN000028,CUST00386,Books,5,248.81,2024-06-02
TXN000029,CUST01216,Books,4,326.47,2023-11-21
TXN000030,CUST00956,Sports,4,223.18,2023-08-21
TXN000031,CUST00277,Beauty,2,183.9,2023-07-04
TXN000032,CUST01185,Fashion,5,60.64,2023-11-01
TXN000033,CUST00460,Beauty,2,319.77,2023-04-22
TXN000034,CUST01338,Sports,4,100.34,2023-06-22
TXN000035,CUST00022,Home & Kitchen,2,73.44,2023-06-21
TXN000036,CUST00253,Electronics,5,95.17,2024-01-29
TXN000037,CUST00748,Fashion,5,345.8,2024-12-22
TXN000038,CUST00857,Books,4,73.49,2024-09-19
TXN000039,CUST01585,Beauty,1,488.24,2023-04-11
TXN000040,CUST00475,Home & Kitchen,1,380.48,2024-10-08
TXN000041,CUST01083,Home & Kitchen,3,199.4,2024-02-21
TXN000042,CUST00511,Fashion,4,298.67,2024-04-12
TXN000043,CUST01706,Fashion,3,8.78,2023-01-21
TXN000044,CUST01500,Home & Kitchen,4,423.04,2023-02-16
TXN000045,CUST00700,Electronics,5,139.25,2024-03-08
TXN000046,CUST00976,Electronics,4,40.58,2023-10-29
TXN000047,CUST01807,Beauty,2,380.27,2023-03-03
TXN000048,CUST00190,Electronics,3,168.14,2023-04-22
TXN000049,CUST00958,Home & Kitchen,4,285.93,2024-09-19
TXN000050,CUST00687,Home & Kitchen,3,422.8,2024-06-11
TXN000051,CUST00958,Sports,4,389.09,2023-07-05
TXN000052,CUST00563,Home & Kitchen,1,171.73,2024-04-20
TXN000053,CUST01900,Electronics,3,435.0,2023-04-14
TXN000054,CUST01591,Books,5,197.48,2024-08-30
TXN000055,CUST01268,Beauty,5,252.51,2024-09-03
TXN000056,CUST00832,Sports,4,308.17,2024-08-19
TXN000057,CUST01529,Electronics,5,40.14,2024-01-20
TXN000058,CUST01155,Beauty,5,300.6,2023-12-16
TXN000059,CUST01509,Electronics,3,290.82,2024-05-27
TXN000060,CUST01843,Sports,4,437.38,2024-02-04
TXN000061,CUST00647,Home & Kitchen,3,180.06,2023-08-25
TXN000062,CUST00021,Books,4,124.88,2023-11-10
TXN000063,CUST00841,Sports,5,240.87,2024-07-11
TXN000064,CUST00167,Home & Kitchen,4,345.23,2023-06-08
TXN000065,CUST01298,Sports,4,283.14,2024-04-13
TXN000066,CUST00388,Fashion,2,73.41,2024-08-20
TXN000067,CUST00601,Books,4,177.21,2024-05-09
TXN000068,CUST00316,Electronics,2,36.57,2023-03-20
TXN000069,CUST00014,Electronics,3,370.97,2023-08-20
