customer_id,age,gender,visit_count,avg_purchase_amount,prior_purchase,treatment,clicked,purchased
1,56,Male,5,101.06,0,1,0,1
2,69,Male,6,85.37,0,1,0,0
3,46,Male,5,69.29,1,0,0,0
4,32,Female,4,106.81,0,1,0,1
5,60,Male,6,86.13,1,1,1,0
6,25,Male,4,38.0,0,1,0,0
7,38,Female,4,98.69,0,1,0,0
8,56,Male,5,107.21,0,0,0,0
9,36,Female,5,109.68,0,1,0,1
10,40,Male,5,44.29,1,0,0,0
11,28,Male,4,97.67,0,0,0,0
12,28,Male,2,166.13,0,1,0,0
13,41,Male,5,155.96,1,0,0,0
14,53,Male,4,50.58,1,1,1,0
15,57,Female,7,42.17,0,1,0,0
16,41,Male,9,112.93,0,0,0,0
17,20,Male,4,44.04,0,1,1,0
18,39,Male,8,74.97,0,0,0,0
19,19,Male,5,135.72,1,0,0,0
20,41,Male,7,95.57,1,0,0,0
21,61,Male,2,31.13,0,1,0,0
22,47,Male,3,106.12,1,0,0,0
23,55,Female,4,90.95,1,1,0,0
24,19,Female,10,120.09,1,1,1,1
25,38,Male,7,87.92,0,1,0,0
26,50,Female,7,188.31,0,0,0,0
27,29,Male,4,94.38,0,1,0,0
28,39,Female,7,116.54,0,1,0,0
29,61,Male,3,128.58,1,0,1,0
30,42,Male,5,141.51,1,0,0,0
31,66,Female,4,53.91,0,0,0,0
32,44,Male,2,144.74,0,1,0,0
33,59,Female,5,90.44,0,1,0,0
34,45,Male,11,110.87,0,1,0,0
35,33,Male,6,44.87,0,0,0,0
36,32,Male,10,37.34,0,1,0,0
37,64,Male,6,107.0,1,0,0,0
38,68,Female,9,137.5,0,0,0,0
39,61,Male,5,57.14,1,1,0,0
40,69,Female,3,47.05,1,1,0,0
41,20,Female,6,100.85,1,1,0,0
42,54,Male,6,73.5,0,0,0,0
43,68,Male,3,119.12,1,0,0,0
44,24,Female,4,71.41,0,1,0,0
45,38,Female,7,95.76,0,0,0,0
46,26,Male,1,143.35,0,0,0,0
47,56,Female,3,129.7,1,0,1,0
48,35,Female,2,50.96,1,0,0,0
49,21,Female,4,100.68,1,1,1,0
50,42,Male,4,95.69,1,1,0,0
51,31,Female,7,67.37,1,0,0,0
52,67,Female,8,123.37,1,0,0,0
53,26,Female,3,117.65,1,0,1,0
54,43,Female,5,136.78,0,0,0,0
55,19,Male,2,85.29,1,0,0,0
56,37,Male,5,98.71,0,1,0,0
57,45,Female,5,150.48,0,1,0,0
58,64,Female,10,141.66,0,1,0,0
59,24,Female,4,91.63,1,1,0,0
60,61,Male,4,102.27,0,1,0,0
61,25,Male,5,62.55,0,1,0,0
62,64,Female,4,145.66,0,0,0,0
63,52,Female,4,134.77,0,0,0,0
64,31,Male,4,111.25,0,1,0,0
65,34,Female,2,131.91,1,1,0,0
66,53,Female,4,42.71,0,1,0,0
67,67,Male,5,122.47,0,1,1,0
68,57,Male,6,128.47,0,1,1,0
69,21,Male,6,99.03,1,0,0,0
70,19,Male,6,90.04,0,1,1,0
71,23,Male,5,83.04,0,1,0,0
72,59,Female,6,117.88,1,0,0,0
73,21,Male,3,97.81,1,1,0,0
74,46,Male,7,126.82,1,1,0,0
75,35,Male,5,109.57,0,0,0,0
76,43,Male,4,108.63,1,1,0,0
77,61,Male,4,85.74,0,1,1,0
78,51,Male,8,144.43,1,0,0,0
79,27,Female,4,119.17,1,1,0,0
80,53,Male,4,88.78,0,1,0,0
81,31,Female,3,112.95,0,1,0,0
82,48,Female,6,108.23,1,1,0,0
83,65,Male,3,115.88,0,0,0,0
84,32,Male,4,105.42,1,0,0,0
85,25,Female,3,139.47,0,0,0,0
86,31,Female,4,93.39,1,1,0,0
87,40,Female,3,117.15,0,1,0,0
88,57,Male,3,94.04,0,0,0,0
89,38,Female,4,93.05,0,0,0,0
90,33,Male,2,95.37,0,0,0,0
91,62,Male,9,98.94,1,1,1,0
92,35,Female,2,84.54,0,1,0,0
93,64,Male,5,109.0,0,0,1,0
94,41,Male,5,68.81,1,1,0,0
95,43,Female,7,130.2,1,1,1,1
96,42,Female,5,140.47,1,1,1,0
97,62,Male,7,25.9,0,0,0,0
98,58,Female,5,97.37,1,1,1,0
99,46,Male,3,105.42,0,1,0,1
100,32,Female,2,106.51,0,1,0,0
101,62,Female,5,115.97,0,0,0,0
102,18,Female,7,100.51,1,1,1,1
103,42,Female,6,90.0,0,0,0,0
104,24,Male,4,78.4,1,1,0,0
105,26,Female,7,116.08,0,0,0,0
106,41,Male,4,115.12,1,1,0,0
107,18,Male,6,133.58,1,0,0,0
108,61,Female,4,120.5,0,0,0,0
109,25,Female,7,87.44,1,0,0,0
110,41,Female,5,118.47,1,0,0,0
111,28,Female,4,100.33,1,1,0,0
112,68,Female,4,60.66,1,1,0,0
113,34,Male,7,137.18,1,0,0,0
114,25,Female,4,127.86,1,1,0,0
115,52,Male,6,99.24,1,0,0,0
116,52,Male,3,77.24,0,0,0,0
117,50,Male,8,79.02,0,0,0,0
118,22,Male,3,98.09,0,1,0,0
119,59,Female,4,114.53,0,1,0,0
120,56,Female,3,97.5,1,1,0,1
121,58,Male,6,92.85,1,0,0,0
122,45,Male,6,47.95,0,0,0,0
123,24,Female,4,46.88,0,0,0,0
124,26,Male,4,7.41,1,0,1,0
125,25,Female,3,118.41,0,0,0,0
126,29,Male,5,120.58,1,0,0,0
127,51,Female,4,109.85,1,0,0,0
128,50,Male,4,145.5,0,0,0,0
129,65,Male,4,78.45,0,0,1,1
130,40,Male,3,107.09,0,0,0,0
131,41,Female,5,62.9,1,1,0,0
132,54,Female,3,116.74,0,0,0,0
133,52,Female,4,113.12,0,0,0,0
134,61,Male,7,103.56,1,1,0,0
135,57,Male,1,90.66,0,1,0,0
136,39,Male,5,100.26,0,1,0,1
137,44,Male,5,85.64,1,1,0,0
138,52,Male,6,103.67,1,1,0,0
139,18,Male,4,72.77,0,1,0,0
140,52,Female,3,100.6,0,0,0,0
141,54,Female,5,156.28,0,1,0,0
142,64,Female,6,75.92,0,1,0,0
143,31,Male,5,118.22,1,0,0,0
144,20,Female,3,146.97,1,1,0,0
145,18,Male,8,108.99,0,0,0,0
146,22,Male,7,117.76,1,0,0,0
147,43,Female,6,132.43,0,0,0,0
148,31,Male,1,84.38,1,0,0,0
149,56,Male,2,44.38,0,1,0,0
150,44,Male,1,98.17,0,1,1,0
151,26,Male,4,82.33,0,0,0,0
152,32,Male,1,141.25,0,1,0,0
153,32,Female,3,69.87,1,0,0,0
154,43,Female,6,131.65,0,0,0,0
155,59,Male,2,94.83,1,1,0,0
156,30,Male,7,117.46,1,0,0,0
157,68,Female,8,73.31,1,1,0,0
158,49,Female,3,56.2,1,0,1,0
159,56,Female,7,104.19,0,0,0,0
160,66,Male,4,100.43,0,0,0,0
161,69,Female,5,88.06,1,0,1,1
162,49,Female,10,132.93,0,1,0,0
163,21,Male,6,119.42,1,1,0,0
164,47,Male,6,114.54,1,0,0,0
165,54,Female,2,71.05,1,0,0,0
166,40,Male,4,101.04,1,1,0,0
167,56,Female,9,57.79,0,0,0,0
168,62,Female,6,137.59,1,1,1,0
169,32,Male,2,115.13,0,0,0,0
170,60,Male,5,65.03,1,1,0,1
171,46,Female,6,23.08,1,0,0,0
172,53,Male,4,114.07,0,1,0,0
173,30,Male,8,77.44,0,0,0,0
174,49,Male,5,91.67,1,1,0,0
175,24,Male,2,111.79,0,1,0,1
176,68,Male,3,69.57,0,1,0,0
177,39,Male,7,100.04,0,1,0,0
178,45,Male,4,86.25,0,1,1,0
179,19,Female,5,83.53,1,0,0,0
180,59,Male,6,104.54,1,0,0,0
181,62,Female,11,96.69,0,1,0,0
182,23,Male,7,176.92,1,1,0,0
183,45,Female,7,100.09,1,0,0,0
184,45,Male,8,71.86,1,1,0,0
185,61,Female,5,79.15,1,0,0,0
186,61,Male,11,50.3,0,1,0,1
187,37,Female,7,85.43,1,0,0,0
188,47,Male,3,99.84,0,0,0,0
189,28,Male,6,127.23,0,0,0,0
190,45,Female,3,142.04,1,0,0,0
191,42,Female,4,89.09,0,0,0,0
192,56,Male,5,85.02,0,0,0,0
193,50,Female,11,96.51,0,1,0,0
194,18,Female,5,87.82,0,1,0,0
195,44,Male,3,99.92,0,0,0,0
196,69,Female,5,153.48,0,0,0,0
197,30,Male,7,64.19,1,0,1,0
198,58,Female,9,160.89,0,0,0,0
199,20,Male,11,32.68,0,0,0,0
200,56,Female,5,121.85,0,1,0,0
201,23,Male,7,102.76,1,0,0,0
202,25,Male,3,116.34,0,0,0,0
203,44,Female,5,102.14,1,1,0,0
204,26,Female,3,133.68,0,0,0,0
205,54,Male,7,75.18,1,1,0,0
206,50,Male,7,135.62,1,1,0,0
207,68,Female,6,166.2,0,1,0,1
208,59,Female,7,135.39,0,0,0,0
209,61,Female,4,70.38,1,1,0,0
210,41,Female,3,88.55,0,0,0,0
211,32,Female,6,127.03,0,0,0,0
212,49,Female,1,31.27,0,0,0,0
213,49,Male,2,111.87,0,1,0,0
214,41,Female,5,101.7,0,1,1,1
215,58,Female,6,75.01,1,0,0,0
